granule_id,us_url,product,location,split,granuleSize,lst_day_1km_min,lst_day_1km_max,lst_day_1km_mean,qc_day_min,qc_day_max,qc_day_mean,day_view_time_min,day_view_time_max,day_view_time_mean,day_view_angl_min,day_view_angl_max,day_view_angl_mean,lst_night_1km_min,lst_night_1km_max,lst_night_1km_mean,qc_night_min,qc_night_max,qc_night_mean,night_view_time_min,night_view_time_max,night_view_time_mean,night_view_angl_min,night_view_angl_max,night_view_angl_mean,emis_31_min,emis_31_max,emis_31_mean,emis_32_min,emis_32_max,emis_32_mean,clear_sky_days_min,clear_sky_days_max,clear_sky_days_mean,clear_sky_nights_min,clear_sky_nights_max,clear_sky_nights_mean
MOD11A2.A2010321.h11v05.061.2021183230248.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010321.h11v05.061.2021183230248/MOD11A2.A2010321.h11v05.061.2021183230248.hdf,modis,northeast,train,5445056,13623.0,15014.0,14422.542165578787,2.0,145.0,17.78403504686133,100.0,255.0,170.88661944444445,1.0,255.0,146.43852006483414,13152.0,14530.0,13939.987307943762,2.0,145.0,12.203133500321467,211.0,255.0,234.5366701388889,1.0,255.0,140.14304802064495,240.0,251.0,246.06980074436387,240.0,250.0,247.52740246417355,1.0,255.0,115.4544567081166,1.0,255.0,171.08713332857712
MOD11A2.A2010321.h12v05.061.2021183230244.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010321.h12v05.061.2021183230244/MOD11A2.A2010321.h12v05.061.2021183230244.hdf,modis,northeast,train,1564660,13645.0,14729.0,14270.652078143978,2.0,145.0,3.7668034539742443,102.0,255.0,250.08322847222223,4.0,255.0,248.50248819444445,13563.0,14603.0,13945.24574587898,2.0,145.0,3.6820976983283464,212.0,255.0,253.79903333333334,2.0,255.0,248.26275486111112,240.0,251.0,246.01014356415396,242.0,250.0,247.50507178207698,1.0,255.0,148.56088272227598,1.0,254.0,157.473492372274
MOD11A2.A2010321.h13v04.061.2021183230245.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010321.h13v04.061.2021183230245/MOD11A2.A2010321.h13v04.061.2021183230245.hdf,modis,northeast,train,4426198,12213.0,14211.0,13452.77826962362,2.0,145.0,14.292760386381707,100.0,255.0,220.89317708333334,1.0,255.0,209.39306112946883,12493.0,14281.0,13355.214182505513,2.0,145.0,21.558039165679933,207.0,255.0,243.18299583333334,1.0,255.0,193.1623687740003,240.0,252.0,247.10824092818385,240.0,250.0,247.67602548986696,2.0,210.0,37.21616624781388,1.0,255.0,48.2888438517274
MOD11A2.A2010321.h12v04.061.2021183230249.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010321.h12v04.061.2021183230249/MOD11A2.A2010321.h12v04.061.2021183230249.hdf,modis,northeast,train,8041515,12572.0,14549.0,13636.13004092255,2.0,145.0,36.949945233296745,101.0,255.0,146.03133680555555,1.0,255.0,106.71899517812733,12160.0,14307.0,13463.767995093269,2.0,145.0,47.08404654285075,207.0,255.0,228.15405347222222,1.0,255.0,113.86740563504077,240.0,252.0,247.23510148512193,239.0,250.0,247.63062207913765,1.0,254.0,123.97451859628629,1.0,254.0,93.83536011770398
MOD11A2.A2010313.h12v04.061.2021183115755.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010313.h12v04.061.2021183115755/MOD11A2.A2010313.h12v04.061.2021183115755.hdf,modis,northeast,train,7076429,13401.0,14539.0,14078.995332602817,2.0,145.0,20.155521653390476,101.0,255.0,129.49796944444444,1.0,255.0,90.88296046089145,12880.0,14272.0,13733.771559814795,2.0,145.0,33.368397827562795,208.0,255.0,224.12004305555556,1.0,255.0,90.19139441456394,240.0,251.0,246.74214910613006,241.0,250.0,247.31026522569877,1.0,255.0,79.80144250524793,1.0,255.0,44.78000526746718
MOD11A2.A2010313.h12v05.061.2021183115750.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010313.h12v05.061.2021183115750/MOD11A2.A2010313.h12v05.061.2021183115750.hdf,modis,northeast,train,1520858,14004.0,14834.0,14379.495538272615,2.0,81.0,3.215855862052166,100.0,255.0,250.11875555555557,7.0,255.0,249.0116472303106,13631.0,14634.0,13853.674261499724,2.0,145.0,3.593479882128441,211.0,255.0,253.83952430555556,6.0,255.0,248.58309525429897,240.0,250.0,246.07300866862937,243.0,249.0,247.3790276414786,1.0,255.0,60.627507163323784,1.0,208.0,76.45020368891892
MOD11A2.A2010313.h11v04.061.2021183115748.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010313.h11v04.061.2021183115748/MOD11A2.A2010313.h11v04.061.2021183115748.hdf,modis,northeast,train,8153631,12903.0,14980.0,14245.322805117423,2.0,161.0,50.54116856314537,100.0,255.0,124.47041875,1.0,255.0,83.73441958418884,12328.0,14493.0,13708.466868437492,2.0,145.0,56.60791527811948,207.0,255.0,220.90360694444445,1.0,255.0,74.38992634072618,240.0,252.0,246.9781697490327,241.0,250.0,247.89967981257323,1.0,239.0,46.52601321006395,1.0,255.0,77.28173883808212
MOD11A2.A2010313.h13v04.061.2021183120916.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010313.h13v04.061.2021183120916/MOD11A2.A2010313.h13v04.061.2021183120916.hdf,modis,northeast,train,4026589,13448.0,14376.0,13914.048828265997,2.0,145.0,6.657646787550142,101.0,255.0,204.1482638888889,1.0,255.0,189.80142875793754,13037.0,14159.0,13593.169402341295,2.0,145.0,10.591689122243405,208.0,255.0,242.0756986111111,1.0,255.0,186.72923832480205,240.0,252.0,246.41336883271404,240.0,250.0,247.319102372802,1.0,255.0,81.35252696910041,1.0,255.0,81.35947154963443
MOD11A2.A2010313.h11v05.061.2021183115751.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010313.h11v05.061.2021183115751/MOD11A2.A2010313.h11v05.061.2021183115751.hdf,modis,northeast,train,5095524,13888.0,15104.0,14596.141529184473,2.0,145.0,13.073688198522447,100.0,255.0,169.02370833333333,1.0,255.0,146.93495824299757,13445.0,14604.0,13910.871127944163,2.0,145.0,7.043293164582923,213.0,255.0,234.67826875,1.0,255.0,141.73048245172393,240.0,251.0,246.06534439016647,241.0,249.0,247.5179669648713,1.0,255.0,59.072286165915344,1.0,255.0,100.28721492098322
MOD11A2.A2010305.h13v04.061.2021183012742.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010305.h13v04.061.2021183012742/MOD11A2.A2010305.h13v04.061.2021183012742.hdf,modis,northeast,train,4075974,12686.0,14408.0,13811.840772992817,2.0,145.0,9.26448003170361,101.0,255.0,205.80571597222223,1.0,255.0,189.7782531065552,12887.0,14429.0,13508.999028649741,2.0,129.0,14.477305442747607,207.0,255.0,243.04751180555556,1.0,255.0,193.114862297371,240.0,252.0,246.50913466776274,240.0,250.0,247.376875612824,1.0,226.0,22.832658478975848,1.0,247.0,54.64353685530954
